Nate,Charlie,Brian
45.0,44.0,42.0
Brian,Charlie,Nate
17.0,13.0,12.0
Brian,Daniel,Allen
49.0,43.0,41.0
Cullen,Nate,Will,Daniel
10.0,  ,7.0,6.0
Brian,Charlie,Clint
0.3797,0.3551,0.348
Brian,Charlie,Clint
0.5394,0.5021,0.4682
Josh,Allen,Charlie
72.0,65.0,62.0
Will,Clint,Brian,Mike,Charlie,Josh,Nate
7.0,6.0,  ,  ,5.0,  ,  
Josh,Daniel,Mike,Allen,Matt,McD,Clint,Cullen,Nate
6.0,5.0,  ,  ,  ,  ,2.0,  ,  
Will,Mike,McD
1.381,2.425,2.779
Will,Josh,Clint
0.818,0.952,1.024
Cullen,Charlie,Matt
9.849,9.511,9.364
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,3.0,3.0
1.0,5.0,3.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
