Ryan,Allen,Shandor
46.0,42.0,41.0
Ryan,Will,Nate,Cullen,Mike
15.0,11.0,  ,10.0,  
Ryan,Nate,Will
50.0,40.0,39.0
Shandor,John,Brian,Will,Ryan,Mike
9.0,6.0,  ,5.0,  ,  
Shandor,Allen,Ryan
0.3754,0.3441,0.3333
Ryan,Cullen,Shandor
0.5216,0.4483,0.4444
Shandor,Nate,Danny
73.0,70.0,68.0
Clint,Shandor,Mike,Allen,Brian
9.0,7.0,  ,6.0,  
Clint,Mike,Ryan
2.0,2.31,2.455
Clint,Ryan,Nate
0.819,0.891,0.906
Allen,Nate,Cullen
5.25,4.375,3.882
Cullen,Danny,Brian,Shandor,Clint,Tim,Will,Ryan,John,Allen,Mike
5.0,  ,  ,  ,4.0,  ,2.0,  ,  ,  ,  
1,1,1
1,2,2
1,1,1
1,2,3
1,1,1
1,1,1
1,1,1
1,2,2
1,1,1
1,1,1
1,1,1
4,2,5
