Nate,Charlie,Tim
51.0,48.0,44.0
McD,Nate,Tim,Charlie
18.0,17.0,  ,13.0
McD,Nate,Tim
53.0,48.0,47.0
Josh,Allen,Clint
9.0,7.0,6.0
Brian,Cullen,McD,Josh
0.372,0.368,  ,0.36
McD,Nate,Josh
0.578,0.527,0.513
Danny,Josh,Clint
78.0,73.0,64.0
Danny,Josh,Will,Mike
8.0,6.0,5.0,  
Will,Clint,Cullen,Danny,Mike,Matt,Allen,Josh,McD
4.0,  ,  ,3.0,  ,  ,2.0,  ,  
Clint,Danny,Matt
2.048,2.16,3.147
Clint,Danny,Nate
0.828,0.945,1.157
Clint,Ryan,Danny
11.92,11.0,10.53
1.0,1.0,1.0
1.0,2.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,2.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,2.0
3.0,3.0,3.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
