48.0,13.0,39.0,4.0,0.346,0.492,81.0,5.0,3.0,3.78,1.155,10.935
28.0,5.0,28.0,3.0,0.387,0.446,50.0,6.0,3.0,3.5896,1.42197,7.80347
48.0,20.0,53.0,3.0,0.348,0.523,69.0,5.0,1.0,1.86702,0.75,9.90957
29.0,9.0,24.0,6.0,0.289,0.381,64.0,3.0,4.0,2.83217,1.32168,12.08392
33.0,14.0,42.0,1.0,0.31,0.427,73.0,6.0,1.0,3.83886,1.20853,9.34123
36.0,7.0,31.0,4.0,0.339,0.414,64.0,7.0,3.0,3.98361,1.14754,9.44262
37.0,12.0,32.0,3.0,0.312,0.455,42.0,2.0,1.0,10.0,4.0,0.0
40.0,8.0,24.0,6.0,0.333,0.387,55.0,6.0,4.0,2.85714,1.15873,7.85714
32.0,8.0,34.0,8.0,0.337,0.37,60.0,4.0,1.0,3.51562,1.10938,8.4375
40.0,12.0,28.0,6.0,0.338,0.433,68.0,5.0,4.0,2.49711,0.95376,10.61272
40.0,13.0,37.0,0.0,0.318,0.486,53.0,5.0,3.0,3.70588,1.11765,9.35294
31.0,8.0,34.0,1.0,0.284,0.374,63.0,7.0,1.0,2.47826,1.30435,8.21739
46.0,16.0,46.0,6.0,0.34,0.445,71.0,4.0,2.0,2.33333,0.85185,11.83333
42.0,13.0,42.0,1.0,0.35,0.495,45.0,1.0,0.0,3.23077,1.15385,10.38462
