30.0,10.0,33.0,4.0,0.271,0.39,68.0,6.0,6.0,3.94811,1.07547,8.66038
47.0,16.0,42.0,3.0,0.339,0.525,50.0,5.0,2.0,4.77348,1.42541,7.45856
39.0,10.0,27.0,2.0,0.302,0.368,44.0,2.0,2.0,5.67391,1.58696,8.6087
41.0,9.0,29.0,3.0,0.341,0.471,85.0,6.0,6.0,3.85714,1.1,10.92857
56.0,20.0,53.0,8.0,0.352,0.572,56.0,5.0,1.0,4.33929,1.5,9.0
50.0,18.0,45.0,2.0,0.382,0.585,73.0,5.0,2.0,3.9171,1.19689,10.21244
38.0,10.0,33.0,1.0,0.322,0.463,58.0,4.0,0.0,3.66429,1.24286,11.18571
43.0,13.0,40.0,4.0,0.355,0.481,53.0,4.0,3.0,4.02762,1.25967,7.90608
44.0,15.0,44.0,4.0,0.38,0.548,58.0,2.0,1.0,3.28378,1.09459,10.58108
60.0,18.0,44.0,5.0,0.379,0.546,57.0,5.0,3.0,3.79213,1.36517,8.64607
32.0,12.0,25.0,5.0,0.324,0.418,43.0,3.0,3.0,5.55319,1.53191,8.23404
32.0,12.0,46.0,5.0,0.351,0.511,50.0,6.0,1.0,2.86875,1.29375,8.4375
49.0,18.0,49.0,5.0,0.391,0.585,68.0,2.0,1.0,4.96216,1.26486,9.92432
48.0,16.0,50.0,4.0,0.381,0.568,54.0,4.0,1.0,2.73913,1.06522,10.56522
