Minnesota Islanders,125.0,65.0,25.0,1290.0,1119.0,171.0,2
The Tall Sexy Tyrion,124.0,60.0,31.0,1402.0,1088.0,90.0,10
Ozuna Matata,124.0,69.0,22.0,1383.0,1097.0,100.0,4
Johto Hoe-Ohs,124.0,70.0,21.0,1330.0,1069.0,181.0,17
The Vallejo Dumpster Fires,124.0,78.0,13.0,1303.0,1106.0,171.0,4
Minnesota Islanders,123.0,59.0,33.0,1360.0,1087.0,133.0,12
Ventura County Gulls,120.0,63.0,32.0,1310.0,1161.0,109.0,6
Ozuna Matata,120.0,72.0,23.0,1292.0,1168.0,120.0,13
Easy Game Easy Life,119.0,75.0,21.0,1270.0,1122.0,188.0,9
Confortobly Numb,118.0,75.0,22.0,1310.0,1130.0,140.0,10
Cokeland Player Haters,118.0,80.0,17.0,1291.0,1129.0,160.0,9
Ctrl Altuve Delete,117.0,79.0,19.0,1267.0,1190.0,123.0,2
Ventura County Gulls,114.0,64.0,37.0,1263.0,1178.0,139.0,10
New Hampshire Thunder Catz,113.0,63.0,39.0,1314.0,1141.0,125.0,4
Ozuna Matata,113.0,79.0,23.0,1300.0,1151.0,129.0,5
Easy Game Easy Life,113.0,84.0,18.0,1236.0,1172.0,172.0,8
The Vallejo Dumpster Fires,111.0,87.0,17.0,1228.0,1201.0,151.0,16
Ventura County Gulls,108.0,79.0,28.0,1274.0,1186.0,120.0,2
New Hampshire Thunder Catz,107.0,94.0,14.0,1234.0,1203.0,143.0,6
Confortobly Numb,106.0,79.0,30.0,1247.0,1190.0,143.0,13
Cokeland Player Haters,104.0,97.0,14.0,1199.0,1210.0,171.0,20
The Tall Sexy Tyrion,103.0,95.0,17.0,1221.0,1244.0,115.0,11
Confortobly Numb,102.0,89.0,24.0,1234.0,1223.0,123.0,2
The Tall Sexy Tyrion,102.0,93.0,20.0,1217.0,1215.0,148.0,6
Ozuna Matata,100.0,98.0,17.0,1182.0,1221.0,177.0,20
The Vallejo Dumpster Fires,99.0,90.0,26.0,1209.0,1224.0,147.0,13
Minnesota Islanders,98.0,89.0,28.0,1228.0,1220.0,132.0,20
New Hampshire Thunder Catz,97.0,93.0,25.0,1178.0,1235.0,167.0,7
Minnesota Islanders,96.0,97.0,22.0,1219.0,1250.0,111.0,5
Dicks Out for TROUT,96.0,100.0,19.0,1159.0,1263.0,158.0,8
The Tall Sexy Tyrion,95.0,102.0,18.0,1178.0,1265.0,137.0,14
The Vallejo Dumpster Fires,93.0,97.0,25.0,1186.0,1266.0,128.0,8
Johto Hoe-Ohs,93.0,100.0,22.0,1195.0,1278.0,107.0,6
The Vallejo Dumpster Fires,93.0,101.0,21.0,1164.0,1245.0,171.0,10
Ctrl Altuve Delete,91.0,92.0,32.0,1171.0,1273.0,136.0,14
Cokeland Player Haters,91.0,98.0,26.0,1191.0,1275.0,114.0,5
The Tall Sexy Tyrion,90.0,100.0,25.0,1179.0,1274.0,127.0,8
Ctrl Altuve Delete,90.0,108.0,17.0,1131.0,1306.0,143.0,8
Ctrl Altuve Delete,89.0,92.0,34.0,1188.0,1262.0,130.0,12
Cokeland Player Haters,89.0,103.0,23.0,1164.0,1246.0,170.0,18
Minnesota Islanders,88.0,107.0,20.0,1124.0,1296.0,160.0,16
Minnesota Islanders,87.0,102.0,26.0,1127.0,1291.0,162.0,17
The Tall Sexy Tyrion,85.0,96.0,34.0,1246.0,1218.0,116.0,2
Confortobly Numb,84.0,103.0,28.0,1163.0,1255.0,162.0,20
Easy Game Easy Life,84.0,105.0,26.0,1118.0,1281.0,181.0,11
The Vallejo Dumpster Fires,82.0,107.0,26.0,1125.0,1273.0,182.0,2
Confortobly Numb,81.0,91.0,43.0,1143.0,1366.0,71.0,9
Cokeland Player Haters,80.0,95.0,40.0,1195.0,1312.0,73.0,4
Easy Game Easy Life,80.0,111.0,24.0,1095.0,1323.0,162.0,20
Ctrl Altuve Delete,80.0,113.0,22.0,1091.0,1351.0,138.0,3
Ventura County Gulls,79.0,87.0,49.0,1221.0,1273.0,86.0,9
New Hampshire Thunder Catz,79.0,106.0,30.0,1108.0,1325.0,147.0,17
New Hampshire Thunder Catz,79.0,110.0,26.0,1097.0,1303.0,180.0,10
The Vallejo Dumpster Fires,76.0,112.0,27.0,1160.0,1291.0,129.0,5
Dicks Out for TROUT,76.0,125.0,14.0,1109.0,1342.0,129.0,12
Ctrl Altuve Delete,74.0,121.0,20.0,1030.0,1399.0,151.0,17
New Hampshire Thunder Catz,74.0,130.0,11.0,989.0,1409.0,182.0,3
Cokeland Player Haters,73.0,98.0,44.0,1166.0,1331.0,83.0,6
The Vallejo Dumpster Fires,72.0,112.0,31.0,1077.0,1337.0,166.0,12
New Hampshire Thunder Catz,72.0,116.0,27.0,1045.0,1369.0,166.0,18
Minnesota Islanders,72.0,124.0,19.0,1044.0,1373.0,163.0,4
Dicks Out for TROUT,72.0,127.0,16.0,1032.0,1398.0,150.0,2
The Vallejo Dumpster Fires,70.0,109.0,36.0,1128.0,1314.0,138.0,9
Dicks Out for TROUT,70.0,125.0,20.0,1011.0,1391.0,178.0,14
Ozuna Matata,69.0,101.0,45.0,1152.0,1292.0,136.0,7
Easy Game Easy Life,69.0,125.0,21.0,1041.0,1375.0,164.0,19
Ozuna Matata,68.0,122.0,25.0,1057.0,1398.0,125.0,10
Easy Game Easy Life,67.0,115.0,33.0,1115.0,1346.0,119.0,13
Easy Game Easy Life,66.0,123.0,26.0,1065.0,1363.0,152.0,16
The Tall Sexy Tyrion,65.0,125.0,25.0,1047.0,1418.0,115.0,19
Ctrl Altuve Delete,64.0,130.0,21.0,1084.0,1383.0,113.0,9
Johto Hoe-Ohs,63.0,127.0,25.0,1062.0,1360.0,158.0,7
Minnesota Islanders,62.0,135.0,18.0,1006.0,1416.0,158.0,9
Cokeland Player Haters,61.0,131.0,23.0,1099.0,1398.0,83.0,16
New Hampshire Thunder Catz,61.0,137.0,17.0,990.0,1438.0,152.0,20
Confortobly Numb,59.0,129.0,27.0,1036.0,1412.0,132.0,14
Minnesota Islanders,59.0,134.0,22.0,1013.0,1428.0,139.0,11
The Tall Sexy Tyrion,58.0,131.0,26.0,1002.0,1427.0,151.0,16
Ozuna Matata,58.0,143.0,14.0,910.0,1500.0,170.0,2
Johto Hoe-Ohs,57.0,137.0,21.0,1023.0,1411.0,146.0,11
New Hampshire Thunder Catz,56.0,126.0,33.0,1041.0,1404.0,135.0,5
Cokeland Player Haters,56.0,128.0,31.0,1088.0,1354.0,138.0,8
Minnesota Islanders,53.0,137.0,25.0,988.0,1451.0,141.0,7
Ctrl Altuve Delete,52.0,144.0,19.0,936.0,1522.0,122.0,5
Ozuna Matata,52.0,144.0,19.0,914.0,1478.0,188.0,3
Cokeland Player Haters,52.0,147.0,16.0,949.0,1451.0,180.0,11
Easy Game Easy Life,51.0,139.0,25.0,999.0,1466.0,115.0,7
New Hampshire Thunder Catz,50.0,148.0,17.0,980.0,1471.0,129.0,14
Ctrl Altuve Delete,48.0,146.0,21.0,909.0,1512.0,159.0,16
Ctrl Altuve Delete,48.0,151.0,16.0,978.0,1451.0,151.0,18
The Tall Sexy Tyrion,46.0,141.0,28.0,1007.0,1477.0,96.0,12
Ctrl Altuve Delete,45.0,147.0,23.0,911.0,1507.0,162.0,4
The Vallejo Dumpster Fires,45.0,147.0,23.0,887.0,1523.0,170.0,11
Confortobly Numb,43.0,141.0,31.0,1000.0,1461.0,119.0,19
Confortobly Numb,41.0,154.0,20.0,871.0,1548.0,161.0,4
Johto Hoe-Ohs,40.0,153.0,22.0,892.0,1536.0,152.0,3
Johto Hoe-Ohs,39.0,149.0,27.0,942.0,1464.0,174.0,18
Easy Game Easy Life,39.0,150.0,26.0,921.0,1543.0,116.0,10
Easy Game Easy Life,39.0,154.0,22.0,875.0,1565.0,140.0,18
Ozuna Matata,38.0,154.0,23.0,887.0,1592.0,101.0,11
Johto Hoe-Ohs,38.0,160.0,17.0,879.0,1550.0,151.0,13
Minnesota Islanders,38.0,161.0,16.0,899.0,1567.0,114.0,13
Johto Hoe-Ohs,37.0,157.0,21.0,845.0,1563.0,172.0,8
Confortobly Numb,37.0,159.0,19.0,855.0,1604.0,121.0,8
