50.0,56.99999999999999,43.0,54.0,21.0,47.0,56.99999999999999,51.0,50.0,42.0,43.0,53.0,71.0,62.0,56.99999999999999,44.0,7.000000000000001,16.0,36.0,47.0,28.999999999999996,47.0,56.99999999999999,60.0
36.0,28.999999999999996,56.99999999999999,48.0,64.0,44.0,28.999999999999996,27.0,36.0,44.0,56.99999999999999,48.0,36.0,19.0,43.0,31.0,28.999999999999996,28.999999999999996,56.99999999999999,37.0,64.0,42.0,21.0,16.0
28.999999999999996,38.0,50.0,47.0,43.0,42.0,43.0,36.0,71.0,67.0,64.0,56.99999999999999,56.99999999999999,45.0,43.0,36.0,36.0,47.0,71.0,69.0,64.0,60.0,64.0,56.00000000000001
50.0,56.00000000000001,36.0,49.0,43.0,60.0,56.99999999999999,67.0,28.999999999999996,39.0,50.0,49.0,28.999999999999996,37.0,7.000000000000001,25.0,36.0,41.0,28.999999999999996,44.0,21.0,38.0,56.99999999999999,64.0
56.99999999999999,55.00000000000001,21.0,39.0,36.0,48.0,21.0,21.0,43.0,40.0,36.0,41.0,86.0,69.0,64.0,49.0,79.0,55.00000000000001,56.99999999999999,56.99999999999999,71.0,65.0,71.0,61.0
43.0,30.0,28.999999999999996,15.0,28.999999999999996,27.0,56.99999999999999,52.0,43.0,42.0,36.0,34.0,36.0,45.0,56.99999999999999,52.0,36.0,32.0,64.0,64.0,56.99999999999999,60.0,56.99999999999999,55.00000000000001
56.99999999999999,51.0,56.99999999999999,50.0,50.0,54.0,14.000000000000002,26.0,64.0,71.0,43.0,56.00000000000001,43.0,47.0,36.0,38.0,43.0,47.0,64.0,56.00000000000001,50.0,55.00000000000001,64.0,51.0
43.0,49.0,43.0,38.0,64.0,49.0,56.99999999999999,51.0,56.99999999999999,45.0,56.99999999999999,42.0,28.999999999999996,41.0,36.0,32.0,64.0,62.0,28.999999999999996,45.0,50.0,57.99999999999999,36.0,48.0
56.99999999999999,40.0,64.0,53.0,56.99999999999999,48.0,64.0,63.0,56.99999999999999,53.0,56.99999999999999,56.00000000000001,50.0,56.00000000000001,50.0,53.0,36.0,42.0,43.0,51.0,56.99999999999999,52.0,36.0,40.0
50.0,53.0,43.0,60.0,50.0,60.0,21.0,20.0,43.0,50.0,56.99999999999999,65.0,43.0,37.0,28.999999999999996,39.0,43.0,33.0,43.0,46.0,28.999999999999996,31.0,28.999999999999996,38.0
36.0,37.0,28.999999999999996,27.0,43.0,30.0,71.0,61.0,50.0,52.0,28.999999999999996,34.0,36.0,53.0,36.0,31.0,43.0,38.0,43.0,38.0,50.0,41.0,50.0,49.0
64.0,79.0,71.0,70.0,50.0,62.0,64.0,57.99999999999999,56.99999999999999,55.00000000000001,64.0,63.0,64.0,73.0,43.0,55.00000000000001,64.0,64.0,64.0,47.0,56.99999999999999,51.0,56.99999999999999,61.0
