Matt,Nate,Josh
52.0,50.0,47.0
Josh,Matt,Brian,Nate,Mike
15.0,  ,14.0,  ,11.0
Nate,Matt,Mike
50.0,48.0,45.0
Brian,Daniel,Charlie,Josh,Nate,Cullen
9.0,7.0,  ,  ,  ,6.0
Nate,Cullen,Josh
0.4051,0.3837,0.3714
Nate,Cullen,Brian
0.5657,0.5318,0.5103
Mike,Matt,McD
71.0,68.0,66.0
Cullen,Charlie,Brian,Allen,Matt,Daniel,Josh,Nate
6.0,  ,5.0,  ,  ,4.0,  ,  
Will,Cullen,Brian,Clint,Mike,Allen,Josh,Matt
6.0,  ,5.0,3.0,  ,  ,  ,  
Brian,Cullen,Allen
1.561,2.788,2.864
Brian,Cullen,Charlie
0.988,0.995,1.0
Josh,McD,Brian
11.148,10.183,9.988
1.0,1.0,1.0
2.0,2.0,1.0
1.0,1.0,1.0
1.0,4.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,3.0,3.0
2.0,1.0,5.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
